"module name","license","repository"
"@esbuild/linux-x64@0.27.3","MIT","https://github.com/evanw/esbuild"
"@types/node@25.3.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"agenticflow-cli@1.0.0","ISC",""
"ansi-escapes@4.3.2","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"base64-js@1.5.1","MIT","https://github.com/beatgammit/base64-js"
"bcryptjs@3.0.3","BSD-3-Clause","https://github.com/dcodeIO/bcrypt.js"
"bl@4.1.0","MIT","https://github.com/rvagg/bl"
"buffer@5.7.1","MIT","https://github.com/feross/buffer"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"chardet@0.7.0","MIT","https://github.com/runk/node-chardet"
"cli-cursor@3.1.0","MIT","https://github.com/sindresorhus/cli-cursor"
"cli-spinners@2.9.2","MIT","https://github.com/sindresorhus/cli-spinners"
"cli-width@3.0.0","ISC","https://github.com/knownasilya/cli-width"
"clone@1.0.4","MIT","https://github.com/pvorb/node-clone"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"commander@14.0.3","MIT","https://github.com/tj/commander.js"
"defaults@1.0.4","MIT","https://github.com/sindresorhus/node-defaults"
"dotenv@17.3.1","BSD-2-Clause","https://github.com/motdotla/dotenv"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"esbuild@0.27.3","MIT","https://github.com/evanw/esbuild"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"external-editor@3.1.0","MIT","https://github.com/mrkmg/node-external-editor"
"figures@3.2.0","MIT","https://github.com/sindresorhus/figures"
"get-tsconfig@4.13.6","MIT","https://github.com/privatenumber/get-tsconfig"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag"
"iconv-lite@0.4.24","MIT","https://github.com/ashtuchkin/iconv-lite"
"ieee754@1.2.1","BSD-3-Clause","https://github.com/feross/ieee754"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"inquirer@8.2.5","MIT","https://github.com/SBoudrias/Inquirer.js"
"is-fullwidth-code-point@3.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-interactive@1.0.0","MIT","https://github.com/sindresorhus/is-interactive"
"is-unicode-supported@0.1.0","MIT","https://github.com/sindresorhus/is-unicode-supported"
"json5@2.2.3","MIT","https://github.com/json5/json5"
"lodash@4.17.23","MIT","https://github.com/lodash/lodash"
"log-symbols@4.1.0","MIT","https://github.com/sindresorhus/log-symbols"
"mimic-fn@2.1.0","MIT","https://github.com/sindresorhus/mimic-fn"
"mute-stream@0.0.8","ISC","https://github.com/isaacs/mute-stream"
"onetime@5.1.2","MIT","https://github.com/sindresorhus/onetime"
"ora@5.4.1","MIT","https://github.com/sindresorhus/ora"
"os-tmpdir@1.0.2","MIT","https://github.com/sindresorhus/os-tmpdir"
"readable-stream@3.6.2","MIT","https://github.com/nodejs/readable-stream"
"resolve-pkg-maps@1.0.0","MIT","https://github.com/privatenumber/resolve-pkg-maps"
"restore-cursor@3.1.0","MIT","https://github.com/sindresorhus/restore-cursor"
"run-async@2.4.1","MIT","https://github.com/SBoudrias/run-async"
"rxjs@7.8.2","Apache-2.0","https://github.com/reactivex/rxjs"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"signal-exit@3.0.7","ISC","https://github.com/tapjs/signal-exit"
"string-width@4.2.3","MIT","https://github.com/sindresorhus/string-width"
"string_decoder@1.3.0","MIT","https://github.com/nodejs/string_decoder"
"strip-ansi@6.0.1","MIT","https://github.com/chalk/strip-ansi"
"supports-color@7.2.0","MIT","https://github.com/chalk/supports-color"
"through@2.3.8","MIT","https://github.com/dominictarr/through"
"tmp@0.0.33","MIT","https://github.com/raszi/node-tmp"
"tslib@2.8.1","0BSD","https://github.com/Microsoft/tslib"
"tsx@4.21.0","MIT","https://github.com/privatenumber/tsx"
"type-fest@0.21.3","(MIT OR CC0-1.0)","https://github.com/sindresorhus/type-fest"
"typescript@5.9.3","Apache-2.0","https://github.com/microsoft/TypeScript"
"undici-types@7.18.2","MIT","https://github.com/nodejs/undici"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"wcwidth@1.0.1","MIT","https://github.com/timoxley/wcwidth"
"wrap-ansi@7.0.0","MIT","https://github.com/chalk/wrap-ansi"
"yaml@2.8.2","ISC","https://github.com/eemeli/yaml"
"zod@4.3.6","MIT","https://github.com/colinhacks/zod"
"@chroma-core/ai-embeddings-common@0.1.10","UNKNOWN",""
"@chroma-core/default-embed@0.1.9","Custom: http://localhost",""
"@hono/node-server@1.19.10","MIT","https://github.com/honojs/node-server"
"@huggingface/jinja@0.5.5","MIT","https://github.com/huggingface/huggingface.js"
"@huggingface/transformers@3.8.1","Apache-2.0","https://github.com/huggingface/transformers.js"
"@img/colour@1.1.0","MIT","https://github.com/lovell/colour"
"@img/sharp-libvips-linux-x64@1.2.4","LGPL-3.0-or-later","https://github.com/lovell/sharp-libvips"
"@img/sharp-libvips-linuxmusl-x64@1.2.4","LGPL-3.0-or-later","https://github.com/lovell/sharp-libvips"
"@img/sharp-linux-x64@0.34.5","Apache-2.0","https://github.com/lovell/sharp"
"@img/sharp-linuxmusl-x64@0.34.5","Apache-2.0","https://github.com/lovell/sharp"
"@isaacs/fs-minipass@4.0.1","ISC","https://github.com/npm/fs-minipass"
"@modelcontextprotocol/sdk@1.27.1","MIT","https://github.com/modelcontextprotocol/typescript-sdk"
"@protobufjs/aspromise@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/base64@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/codegen@2.0.4","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/eventemitter@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/fetch@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/float@1.0.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/inquire@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/path@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/pool@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/utf8@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@types/node@20.19.35","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"accepts@2.0.0","MIT","https://github.com/jshttp/accepts"
"agenticflow-memory-mcp@0.2.0","UNKNOWN",""
"ajv-formats@3.0.1","MIT","https://github.com/ajv-validator/ajv-formats"
"ajv@8.18.0","MIT","https://github.com/ajv-validator/ajv"
"anymatch@3.1.3","ISC","https://github.com/micromatch/anymatch"
"argparse@1.0.10","MIT","https://github.com/nodeca/argparse"
"binary-extensions@2.3.0","MIT","https://github.com/sindresorhus/binary-extensions"
"body-parser@2.2.2","MIT","https://github.com/expressjs/body-parser"
"boolean@3.2.0","MIT","https://github.com/thenativeweb/boolean"
"braces@3.0.3","MIT","https://github.com/micromatch/braces"
"bytes@3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"call-bind-apply-helpers@1.0.2","MIT","https://github.com/ljharb/call-bind-apply-helpers"
"call-bound@1.0.4","MIT","https://github.com/ljharb/call-bound"
"chokidar@3.6.0","MIT","https://github.com/paulmillr/chokidar"
"chownr@3.0.0","BlueOak-1.0.0","https://github.com/isaacs/chownr"
"chromadb-js-bindings-linux-x64-gnu@1.3.1","MIT","https://github.com/chroma-core/chroma"
"chromadb@3.3.1","Apache-2.0",""
"content-disposition@1.0.1","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.5","MIT","https://github.com/jshttp/content-type"
"cookie-signature@1.2.2","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.7.2","MIT","https://github.com/jshttp/cookie"
"cors@2.8.6","MIT","https://github.com/expressjs/cors"
"cross-spawn@7.0.6","MIT","https://github.com/moxystudio/node-cross-spawn"
"debug@4.4.3","MIT","https://github.com/debug-js/debug"
"define-data-property@1.1.4","MIT","https://github.com/ljharb/define-data-property"
"define-properties@1.2.1","MIT","https://github.com/ljharb/define-properties"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd"
"detect-libc@2.1.2","Apache-2.0","https://github.com/lovell/detect-libc"
"detect-node@2.1.0","MIT","https://github.com/iliakan/detect-node"
"dunder-proto@1.0.1","MIT","https://github.com/es-shims/dunder-proto"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"encodeurl@2.0.0","MIT","https://github.com/pillarjs/encodeurl"
"es-define-property@1.0.1","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"es-object-atoms@1.1.1","MIT","https://github.com/ljharb/es-object-atoms"
"es6-error@4.1.1","MIT","https://github.com/bjyoungblood/es6-error"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"escape-string-regexp@4.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"esprima@4.0.1","BSD-2-Clause","https://github.com/jquery/esprima"
"etag@1.8.1","MIT","https://github.com/jshttp/etag"
"eventsource-parser@3.0.6","MIT","https://github.com/rexxars/eventsource-parser"
"eventsource@3.0.7","MIT","git://git@github.com/EventSource/eventsource"
"express-rate-limit@8.2.1","MIT","https://github.com/express-rate-limit/express-rate-limit"
